Customer_ID,Customer_Name,Customer_City,Customer_Type
CUST101,Aarav Sharma,Delhi,Individual
CUST102,Ananya Verma,Ahmedabad,Business
CUST103,Rohan Gupta,Gurugram,Premium
CUST104,Priya Singh,Bengaluru,Individual
CUST106,Arjun Mehta,Mumbai,Business
CUST108,Neha Kapoor,Jaipur,Premium
CUST109,Karan Joshi,Chandigarh,Individual
CUST110,Simran Kaur,Lucknow,Business
CUST111,Rahul Bansal,Kolkata,Premium
CUST112,Pooja Malhotra,Chennai,Individual
CUST113,Vikram Sharma,Delhi,Business
CUST114,Sneha Verma,Ahmedabad,Premium
CUST115,Amit Gupta,Gurugram,Individual
CUST116,Riya Singh,Bengaluru,Business
CUST117,Nikhil Mehta,Mumbai,Premium
CUST118,Kavya Kapoor,Jaipur,Individual
CUST119,Manish Joshi,Chandigarh,Business
CUST120,Shreya Kaur,Lucknow,Premium
CUST121,Aditya Bansal,Kolkata,Individual
CUST122,Megha Malhotra,Chennai,Business
CUST123,Aarav Sharma,Delhi,Premium
CUST124,Ananya Verma,Ahmedabad,Individual
CUST125,Rohan Gupta,Gurugram,Business
CUST126,Priya Singh,Bengaluru,Premium
CUST127,Arjun Mehta,Mumbai,Individual
CUST128,Neha Kapoor,Jaipur,Business
CUST129,Karan Joshi,Chandigarh,Premium
CUST130,Simran Kaur,Lucknow,Individual
CUST131,Rahul Bansal,Kolkata,Business
CUST132,Pooja Malhotra,Chennai,Premium
CUST133,Vikram Sharma,Delhi,Individual
CUST134,Sneha Verma,Ahmedabad,Business
CUST135,Amit Gupta,Gurugram,Premium
CUST136,Riya Singh,Bengaluru,Individual
CUST137,Nikhil Mehta,Mumbai,Business
CUST138,Kavya Kapoor,Jaipur,Premium
CUST139,Manish Joshi,Chandigarh,Individual
CUST140,Shreya Kaur,Lucknow,Business
CUST141,Aditya Bansal,Kolkata,Premium
CUST142,Megha Malhotra,Chennai,Individual
CUST143,Aarav Sharma,Delhi,Business
CUST144,Ananya Verma,Ahmedabad,Premium
CUST145,Rohan Gupta,Gurugram,Individual
CUST146,Priya Singh,Bengaluru,Business
CUST147,Arjun Mehta,Mumbai,Premium
CUST148,Neha Kapoor,Jaipur,Individual
CUST150,Karan Joshi,Chandigarh,Business
CUST152,Simran Kaur,Lucknow,Premium
CUST153,Rahul Bansal,Kolkata,Individual
CUST154,Pooja Malhotra,Chennai,Business
CUST155,Vikram Sharma,Delhi,Premium
CUST156,Sneha Verma,Ahmedabad,Individual
CUST157,Amit Gupta,Gurugram,Business
CUST158,Riya Singh,Bengaluru,Premium
CUST159,Nikhil Mehta,Mumbai,Individual
CUST160,Kavya Kapoor,Jaipur,Business
CUST161,Manish Joshi,Chandigarh,Premium
CUST162,Shreya Kaur,Lucknow,Individual
CUST163,Aditya Bansal,Kolkata,Business
CUST165,Megha Malhotra,Chennai,Premium
CUST166,Aarav Sharma,Delhi,Individual
CUST167,Ananya Verma,Ahmedabad,Business
CUST168,Rohan Gupta,Gurugram,Premium
CUST169,Priya Singh,Bengaluru,Individual
CUST170,Arjun Mehta,Mumbai,Business
CUST171,Neha Kapoor,Jaipur,Premium
CUST172,Karan Joshi,Chandigarh,Individual
CUST173,Simran Kaur,Lucknow,Business
CUST174,Rahul Bansal,Kolkata,Premium
CUST175,Pooja Malhotra,Chennai,Individual
CUST176,Vikram Sharma,Delhi,Business
CUST178,Sneha Verma,Ahmedabad,Premium
CUST179,Amit Gupta,Gurugram,Individual
CUST180,Riya Singh,Bengaluru,Business
